x,y
3607092,3453000
875888,968000
828815,820000
885071,462000
3706875,3549000
3768060,3609000
321989,1443000
1922613,1022000
1437689,669000
2638075,2436000
1278512,1134000
1177903,1131000
1205640,859000
1725047,1683000
2463444,1948000
2589809,2164000
2580519,2133000
1544179,1813000
1427540,1083000
925769,844000
2418480,1495000
952646,916000
1940071,1849000
930670,1301000
3575900,3436000
1974044,1890000
1283933,1043000
1417936,1106000
2653284,1868000
2567115,2619000
5446476,4934000
960757,1042000
1518490,1096000
2801319,1305000
984441,875000
2587087,2873000
1224728,1622000
2258931,1699000
3652363,3629000
2197759,2437000
874833,792000
1137995,1135000
3835855,3558000
1264461,1016000
1266109,1280000
2908380,2065000
869812,829000
1248961,1021000
3741194,4437000
1276559,1132000
1120402,609000
1452901,1126000
962200,411000
948622,898000
2567172,2853000
2262215,1335000
2963960,2104000
1848243,1781000
3727740,3589000
7007909,7046000
2515366,2781000
1874212,2072000
2407033,1452000
1696208,1585000
2552989,2862000
3846649,3635000
2187263,1303000
891797,897000
1783943,932000
1306144,888000
1224972,1316000
3820640,3632000
2720532,2140000
1156702,1060000
809865,634000
3350418,2529000
1414080,1336000
1576265,1825000
1065485,1104000
1276141,748000
1104727,1069000
2263592,1878000
1334612,1328000
943245,718000
1811766,945000
